framecallback_start, ready_flag_end,node_update_start,node_update_time(us),node_update_end,split_preprocess_start,split_preprocess_time(us),split_preprocess_end,split_start,split_time(us),split_end,roi_ethernet_start, roi_total_ethernet_start
1754651437199737,8463496687868977952,1754651437187114,20,1754651437187134,1754651437199740,13,1754651437199753,1754651437199753,156,1754651437199909,1754651437200122,8463496687868977952,
1754651437666432,8463496687868977952,1754651437653984,21,1754651437654005,1754651437666436,18,1754651437666454,1754651437666454,96,1754651437666550,1754651437666729,8463496687868977952,
1754651438099766,8463496687868977952,1754651438088636,21,1754651438088657,1754651438099770,17,1754651438099787,1754651438099788,94,1754651438099882,1754651438100060,8463496687868977952,
1754651438533116,8463496687868977952,1754651438521773,21,1754651438521794,1754651438533120,13,1754651438533133,1754651438533133,120,1754651438533253,1754651438533480,8463496687868977952,
1754651438966389,8463496687868977952,1754651438955276,21,1754651438955297,1754651438966393,18,1754651438966411,1754651438966411,116,1754651438966527,1754651438966816,8463496687868977952,
1754651439401275,8463496687868977952,1754651439388564,25,1754651439388589,1754651439401279,16,1754651439401295,1754651439401296,162,1754651439401458,1754651439401712,8463496687868977952,
1754651439866439,8463496687868977952,1754651439853852,26,1754651439853878,1754651439866442,14,1754651439866456,1754651439866456,92,1754651439866548,1754651439866877,8463496687868977952,
1754651440299773,8463496687868977952,1754651440288535,22,1754651440288557,1754651440299777,17,1754651440299794,1754651440299795,94,1754651440299889,1754651440300064,8463496687868977952,
1754651440733123,8463496687868977952,1754651440721918,23,1754651440721941,1754651440733126,17,1754651440733143,1754651440733143,125,1754651440733268,1754651440733500,8463496687868977952,
1754651441199775,8463496687868977952,1754651441187169,28,1754651441187197,1754651441199778,14,1754651441199792,1754651441199793,91,1754651441199884,1754651441200228,8463496687868977952,
1754651441633064,8463496687868977952,1754651441621797,21,1754651441621818,1754651441633068,18,1754651441633086,1754651441633086,93,1754651441633179,1754651441633376,8463496687868977952,
1754651442099745,8463496687868977952,1754651442087121,21,1754651442087142,1754651442099748,14,1754651442099762,1754651442099763,97,1754651442099860,1754651442100032,8463496687868977952,
1754651442533103,8463496687868977952,1754651442521989,21,1754651442522010,1754651442533106,14,1754651442533120,1754651442533121,87,1754651442533208,1754651442533556,8463496687868977952,
1754651442966400,8463496687868977952,1754651442955191,23,1754651442955214,1754651442966404,17,1754651442966421,1754651442966422,95,1754651442966517,1754651442966684,8463496687868977952,
1754651443399766,8463496687868977952,1754651443388721,24,1754651443388745,1754651443399771,18,1754651443399789,1754651443399790,120,1754651443399910,1754651443400342,8463496687868977952,
1754651443834672,8463496687868977952,1754651443821779,21,1754651443821800,1754651443834675,15,1754651443834690,1754651443834690,91,1754651443834781,1754651443834957,8463496687868977952,
1754651444299781,8463496687868977952,1754651444287217,22,1754651444287239,1754651444299784,15,1754651444299799,1754651444299799,93,1754651444299892,1754651444300069,8463496687868977952,
1754651444733062,8463496687868977952,1754651444721747,24,1754651444721771,1754651444733066,17,1754651444733083,1754651444733083,97,1754651444733180,1754651444733382,8463496687868977952,
1754651445199684,8463496687868977952,1754651445187098,21,1754651445187119,1754651445199685,11,1754651445199696,1754651445199696,84,1754651445199780,1754651445199975,8463496687868977952,
1754651445667538,8463496687868977952,1754651445653878,29,1754651445653907,1754651445667541,16,1754651445667557,1754651445667558,94,1754651445667652,1754651445667838,8463496687868977952,
1754651446134550,8463496687868977952,1754651446120554,26,1754651446120580,1754651446134552,13,1754651446134565,1754651446134566,109,1754651446134675,1754651446134871,8463496687868977952,
1754651446599749,8463496687868977952,1754651446587368,25,1754651446587393,1754651446599752,15,1754651446599767,1754651446599768,96,1754651446599864,1754651446600063,8463496687868977952,
1754651447033085,8463496687868977952,1754651447021841,23,1754651447021864,1754651447033089,14,1754651447033103,1754651447033103,95,1754651447033198,1754651447033393,8463496687868977952,
1754651447466314,8463496687868977952,1754651447455253,22,1754651447455275,1754651447466317,14,1754651447466331,1754651447466331,85,1754651447466416,1754651447466592,8463496687868977952,
1754651447901260,8463496687868977952,1754651447888805,22,1754651447888827,1754651447901264,17,1754651447901281,1754651447901281,133,1754651447901414,1754651447901652,8463496687868977952,
1754651448366413,8463496687868977952,1754651448353855,23,1754651448353878,1754651448366418,17,1754651448366435,1754651448366435,102,1754651448366537,1754651448366798,8463496687868977952,
